id,imdb_id,popularity,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
1865,tt1298650,4.95513,380000000,1021683000,Pirates of the Caribbean: On Stranger Tides,Johnny Depp|PenÃ©lope Cruz|Geoffrey Rush|Ian McShane|Kevin McNally,http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,Rob Marshall,Live Forever Or Die Trying.,sea|captain|mutiny|sword|prime minister,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",136,Adventure|Action|Fantasy,Walt Disney Pictures|Jerry Bruckheimer Films|Moving Picture Company (MPC),5/11/11,3180,6.3,2011,368371256.184759,990417500.348983
20024,tt0172396,0.498365,23000000,10827816,The End of the Affair,Ralph Fiennes|Stephen Rea|Julianne Moore|James Bolam|Ian Hart,,Neil Jordan,,bomb|sex|jealousy|infidelity|obsession,"On a rainy London night in 1946, novelist Maurice Bendrix has a chance meeting with Henry Miles, husband of his ex-mistress Sarah, who abruptly ended their affair two years before. Bendrix's obsession with Sarah is rekindled; he succumbs to his own jealousy and arranges to have her followed.",102,Drama,Columbia Pictures Corporation,12/3/99,24,6.1,1999,30108215.4716694,14174183.3571995
9948,tt0465997,0.76252,24000000,0,The Fox and the Hound 2,Reba McEntire|Patrick Swayze|Jonah Bobo|Harrison Fahn|Jeff Foxworthy,,Jim Kammerud,Old Friends New Adventure,fox|dog,"Best friends Tod, a fox kit, and Copper, a hound puppy, visit a country fair when they see a band of dogs called ""The Singin' Strays"". The band has five members: Dixie, Cash, Granny Rose, and twin brothers Waylon and Floyd. It is important that they perform well because a talent scout is visiting.",69,Adventure|Animation|Comedy|Family,Walt Disney Pictures|DisneyToon Studios,11/9/06,59,5.6,2006,25960059.7989977,0
16162,tt0168501,0.066504,9000000,34573780,The Best Man,Nia Long|Morris Chestnut|Harold Perrineau|Terrence Howard|Sanaa Lathan,http://www.universalpictures.com/bestman/,Malcolm D. Lee,,,"Harper, a writer who's about to explode into the mainstream leaves behind his girlfriend Robin and heads to New York City to serve as best man for his friend Lance's wedding. Once there, he reunites with the rest of his college circle.",120,Drama|Comedy,Universal Pictures|40 Acres & A Mule Filmworks,10/22/99,22,7.8,1999,11781475.6193489,45258905.1265258
84316,tt2076897,0.238135,0,0,My Brother the Devil,James Floyd|Fady Elsayed|SaÃ¯d Taghmaoui|Aymen Hamdouchi|Ashley Bashy Thomas,,Sally El Hosaini,,woman director,"Fourteen-year-old Mo is a lonely, sensitive boy whose hunger for the rant and banter of buddies makes him prone to tread dangerous territories. He idolizes his handsome older brother, Rashid, a charismatic, well-respected member of a local gang, whose drug dealing enables â€œRashâ€ to provide for his family. Aching to be seen as a tough guy himself, Mo takes a job that unlocks a fateful turn of events and forces the brothers to confront their inner demons. It turns out that hate is easy. It is love and understanding that take real courage.",111,Drama,,1/22/12,10,6.2,2012,0,0
22556,tt0954990,0.127309999999999,15000000,317000,The Yellow Handkerchief,William Hurt|Maria Bello|Kristen Stewart|Eddie Redmayne|Veronica Russell,http://www.theyellowhandkerchief.com/,Udayan Prasad,,independent film,"Set in the present-day southern United States, The Yellow Handkerchief stars William Hurt as Brett Hanson, an ex-convict who embarks on a road trip. Hanson hitches a ride with two troubled teens, Martine (Kristen Stewart) and Gordy (Eddie Redmayne) traversing post-Hurricane Katrina Louisiana in an attempt to reach his ex-wife and long-lost love, May (Maria Bello). Along the way, the three reflect on their existence, struggle for acceptance, and find their way not only through Louisiana, but through life.",102,Drama|Romance,area japan,12/17/08,30,6.6,2008,15191799.5071375,321053.362917506
44040,tt1314655,0.368927,10000000,33583175,Devil,Chris Messina|Jacob Vargas|Bojana NovakoviÄ‡|Logan Marshall-Green|Bokeem Woodbine,http://www.thenightchronicles.com/devil/,John Erick Dowdle,Bad Things Happen For A Reason,claustrophobia|trapped in an elevator,A group of people trapped in a elevator realize that the devil is among them.,80,Horror|Mystery|Thriller,Universal Pictures|Media Rights Capital|Night Chronicles|Relativity Media,1/13/10,433,5.6,2010,10000000,33583175
83727,tt1763316,0.155675,0,0,The Theatre Bizarre,Udo Kier|Virginia Newcomb|Amanda Marquardt|Amelia M. Gotham|Catriona MacColl,,Buddy Giovinazzo|Douglas Buck|David Gregory|Karim Hussain|Tom Savini|Richard Stanley,,horror anthology,"Down a seedy city street in her neighborhood, young Enola Penny is obsessed with what appears to be a long abandoned theatre. One night, she sees that the front door is slightly ajar and impulsively decides to sneak inside. But there in the dark, decrepit auditorium, a show unlike any other unfolds before her eyes. Its host is an eerie human puppet named Peg Poett who will introduce Penny to six tales of the bizarre: A couple traveling in a remote part of the French Pyrenees cross paths with a lustful witch; A paranoid lover faces the wrath of a partner who has been pushed to her limit; The Freudian dreams of an unfaithful husband blur the lines between fantasy and reality; The horrors of the real world are interpreted through the mind of a child; A woman addicted to other people's memories gets her fix through the vitreous fluid of her victims' eyeballs; And a perverse obsession with sweets turns sour for a couple in too deep.",114,Horror,Severin Films|Quota Productions,7/15/11,19,5.8,2011,0,0
296098,tt3682448,3.64821,40000000,162610473,Bridge of Spies,Tom Hanks|Mark Rylance|Amy Ryan|Alan Alda|Sebastian Koch,,Steven Spielberg,"In the shadow of war, one man showed the world what we stood for.",spy|cia|cold war|pilot|lawyer,"During the Cold War, the Soviet Union captures U.S. pilot Francis Gary Powers after shooting down his U-2 spy plane. Sentenced to 10 years in prison, Powers' only hope is New York lawyer James Donovan, recruited by a CIA operative to negotiate his release. Donovan boards a plane to Berlin, hoping to win the young man's freedom through a prisoner exchange. If all goes well, the Russians would get Rudolf Abel, the convicted spy who Donovan defended in court.",141,Thriller|Drama,DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions,10/15/15,1638,7.1,2015,36799983.8080071,149601569.335309
2525,tt0060164,0.533292,18000000,0,The Bible: In the Beginning...,Michael Parks|Ulla Bergryd|Richard Harris|Franco Nero|George C. Scott,,John Huston,The unforgettable adventure of Man from the Creation!,bible|christian|flood|noah|noah's ark,"Extravagant production of the first part of the book of Genesis. Covers Adam and Eve, Noah and the Flood and Abraham and Isaac.",174,Drama,Seven Arts Productions|Dino de Laurentiis Cinematografica|Thalia AG,9/28/66,18,5.8,1966,120924264.461366,0
8363,tt0829482,1.776713,20000000,169860655,Superbad,Jonah Hill|Michael Cera|Christopher Mintz-Plasse|Bill Hader|Seth Rogen,http://www.areyousuperbad.com/,Greg Mottola,Come and Get Some!,becoming an adult|high school|young people|one night,"High school best buddies are facing separation anxiety as they prepare to go off to college. While attempting to score alcohol for a party with help from a fake ID-toting friend, the guys' evening takes a turn into chaotic territory.",113,Comedy,Columbia Pictures|Apatow Productions,8/17/07,1325,7,2007,21033371.6526309,178637114.288716
38363,tt0977855,0.754168,22000000,24188922,Fair Game,Naomi Watts|Sean Penn|Ty Burrell|Brooke Smith|Bruce McGill,http://www.fairgame-movie.com/,Doug Liman,Wife. Mother. Spy.,cia|nuclear scientist|iraq|politician|duringcreditsstinger,"Wife and mother Valerie Plame (Naomi Watts) has a double life as a CIA operative, hiding her vocation from family and friends. Her husband, Joseph Wilson (Sean Penn), writes a controversial article in The New York Times, refuting stories about the sale of enriched uranium to Iraq, Then Valerie's secret work and identity is leaked to the press. With her cover blown and other people endangered, Valerie's career and personal life begin to unravel.",108,Drama|Thriller,River Road Entertainment|Participant Media,5/20/10,129,6.4,2010,22000000,24188922
52520,tt1496025,7.031452,70000000,132400000,Underworld: Awakening,Kate Beckinsale|Stephen Rea|Michael Ealy|Theo James|India Eisley,http://www.entertheunderworld.com/,MÃ¥ns MÃ¥rlind|BjÃ¶rn Stein,Vengeance Returns,daughter|hybrid|child vampire|werewolf|imax,"After being held in a coma-like state for fifteen years, vampire Selene learns that she has a fourteen-year-old vampire/Lycan hybrid daughter named Nissa, and when she finds her, they must stop BioCom from creating super Lycans that will kill them all.",88,Fantasy|Action|Horror,Lakeshore Entertainment|Saturn Films|Screen Gems|Sketch Films|UW4 Productions,1/19/12,1426,6,2012,66482099.6946572,125746142.851037
31908,tt0116410,0.212308,0,0,Ghosts of Mississippi,Alec Baldwin|James Woods|Virginia Madsen|Whoopi Goldberg|Craig T. Nelson,,Rob Reiner,From the director of A FEW GOOD MEN comes a compelling TRUE STORY.,assassin|widow|trial|civil rights|activist,"Ghosts of Mississippi is a drama covering the final trial of the assassin, Bryon De La Beckwith, of the 60s civil rights leader Medgar Evers. It begins with the murder and the events surrounding the two initial trials which both ended in a hung jury. The movie then covers District Attorney, Bobby DeLaughters transformation and alliance with Myrlie Evers, wife of Medgar Evers, of the, as he becomes more involved with bringing Beckwith to trial for the third time 30 years later. Some of the characters are played by the actual participants in this story.",130,History|Drama,Columbia Pictures|Castle Rock Entertainment,12/20/96,17,5.9,1996,0,0
10862,tt0186894,0.372923,35000000,36779296,Bounce,Ben Affleck|Gwyneth Paltrow|Joe Morton|Natasha Henstridge|Tony Goldwyn,,Don Roos,Two strangers fell in love. One knew it wasn't by chance.,chance|widow|stroke of fate|encounter|destiny,A man switches plane tickets with another man who dies in that plane in a crash. The man falls in love with the deceased one's wife.,106,Drama|Romance,Miramax Films,11/15/00,62,5.2,2000,44320224.0020098,46573332.4958921
9034,tt0280460,0.535827,10000000,0,The Banger Sisters,Goldie Hawn|Susan Sarandon|Geoffrey Rush|Erika Christensen|Robin Thomas,,Bob Dolman,Some friendships last forever... like it or not.,tattoo|rock star|groupie|past|spieÃŸerleben,"In the late '60s, the self-proclaimed belles of the rock 'n' roll ball, rocked the worlds of every music legend whose pants they could take off -- and they have the pictures to prove it. But it's been more than two decades since the Banger Sisters earned their nickname -- or even laid eyes on each other. Their reunion is the collision of two women's worlds; one who's living in the past, and one who's hiding from it. Together they learn to live in the moment.",98,Comedy|Drama,Fox Searchlight Pictures,9/20/02,32,5.3,2002,12122613.9362054,0
185744,tt2346046,0.0898409999999999,0,0,Amy Schumer: Mostly Sex Stuff,Amy Schumer,,Ryan Polito,,comedian|stand-up|comedy|stand up comedy,"A ratings hit! Amy Schumer debuts her one-hour special in front of a live audience at the Historic Fillmore Theatre in San Francisco. Nothing is off limits as Schumer airs every hilarious, messed up detail of her dating and sex life, from encounters with unexpected body parts to hate-filled personal grooming appointments. In her matter-of-fact raunchy style, at odds with her self-described ""Cabbage Patch Kid"" appearance, Schumer tells stories of a boyfriend who makes dirty requests over dinner, the way she outsmarts her birth control, and a shocking ending to a seemingly innocent cab ride.",41,Comedy,Comedy Central,8/18/12,14,7.1,2012,0,0
44943,tt1217613,1.19533,70000000,202466756,Battle: Los Angeles,Aaron Eckhart|RamÃ³n RodrÃ­guez|Will Rothhaar|Cory Hardrict|Jim Parrack,http://www.battlela.com,Jonathan Liebesman,It's not war. It's survival.,saving the world|hero|marine corps|chaos|retirement,"The Earth is attacked by unknown forces. As people everywhere watch the world's great cities fall, Los Angeles becomes the last stand for mankind in a battle no one expected. It's up to a Marine staff sergeant and his new platoon to draw a line in the sand as they take on an enemy unlike any they've ever encountered before.",116,Action|Science Fiction,Columbia Pictures|Original Film|Relativity Media,3/8/11,1041,5.5,2011,67857862.981403,196270876.956245
248842,tt2364006,0.165765,0,0,The Food Guide to Love,Richard Coyle|Leonor Watling|GinÃ©s GarcÃ­a MillÃ¡n|Simon Delaney|Bronagh Gallagher,,Dominic Harari|Teresa Pelegri,,woman director,A dysfunctional love story about an Irish food writer and a politically committed Spanish woman.,0,Romance|Comedy,Haut et Court|Parallel Film Productions|Fox International Productions (FIP),12/18/13,12,5.6,2013,0,0
13005,tt0081748,0.097584,0,6659377,Where the Buffalo Roam,Bill Murray|Peter Boyle|Bruno Kirby|Rene Auberjonois|R. G. Armstrong,,Art Linson,,historical figure|writer,Semi-biographical film based on the experiences of gonzo journalist Hunter S. Thompson.,96,Action|Adventure|Comedy|Drama,Universal Pictures,4/25/80,21,5.5,1980,0,17620956.2935587
50647,tt1655460,1.055188,35000000,24159934,Wanderlust,Paul Rudd|Jennifer Aniston|Justin Theroux|Malin Ã…kerman|Lauren Ambrose,http://www.wanderlust-movie.com/Wanderlust/home.html,David Wain,Leave your baggage behind,hippie|commune|nudism|nude protest|aftercreditsstinger,"Rattled by sudden unemployment, a Manhattan couple surveys alternative living options, ultimately deciding to experiment with living on a rural commune where free love rules.",98,Comedy,Relativity Media|Apatow Productions|A Hot Dog,2/24/12,250,5.2,2012,33241049.8473286,22945759.1543476
35558,tt1579247,0.473513,0,0,StarStruck,Sterling Knight|Danielle Campbell|Maggie Castle|Brandon Smith|Chelsea Kane,http://tv.disney.go.com/disneychannel/originalmovies/starstruck/?int_cmp=dcom_sta_dcom_tv_nav_ico__I,Michael Grossman,,beach|sister sister relationship|pop singer|paparazzi|adventure,"Jessica Olsen goes to Los Angeles with nothing more in mind that visiting her grandparents while her sister tries to meet Christopher Wilde. One night she meets Christopher Wilde. They go an an adventure around Los Angeles and start to like each other. When Jessica returns home, Christopher, on national TV, says he doesn't know her, and never met her.",90,Comedy|Romance|TV Movie,Disney Channel,2/14/10,112,6,2010,0,0
15671,tt1076252,0.431801,0,0,Picture This,Ashley Tisdale|Robbie Amell|Kevin Pollak|Shenae Grimes|Lauren Collins,,Stephen Herek,A no-body is about to become a somebody to impress everybody!,high school,"Bookish and unpopular Mandy finds her luck finally changing when Drew, the school hottie, invites her to the year's biggest party. But with being grounded and Drew's ex-girlfriend bent on thwarting her, Mandy may be destined to remain a geek. Can a little ingenuity and some help from her friends save the day?",92,Drama|Comedy|Romance|Family,Hughes Capital Entertainment,7/13/08,53,5,2008,0,0
121986,tt2347569,0.677303,0,4069826,Frances Ha,Greta Gerwig|Mickey Sumner|Adam Driver|Michael Zegen|Michael Esper,,Noah Baumbach,,,"An aspiring dancer moves to New York City and becomes caught up in a whirlwind of flighty fair-weather friends, diminishing fortunes and career setbacks.",86,Comedy|Drama,RT Features,5/17/13,232,7.1,2013,0,3809492.87585015
10877,tt0242445,0.510452,50000000,79958599,Exit Wounds,Steven Seagal|DMX|Isaiah Washington|Anthony Anderson|Bill Duke,http://www.exitwounds.net/,Andrzej Bartkowiak,This Is Gonna Hurt,corruption|scandal|shadowing|police,"Maverick cop Orin Boyd always brings down the domestic terrorists he tracks, but he ruffles feathers with his unorthodox techniques -- and soon finds himself reassigned to the toughest district in Detroit. When he discovers a group of detectives secretly operating a drug ring, Boyd joins forces with an unlikely ally -- gangster Latrell Walker -- to bring down the rotten cops.",101,Action|Crime|Thriller,NPV Entertainment|Warner Bros.,3/13/01,52,5,2001,61574405.8346921,98468064.4959882
127884,tt2341664,0.452177,0,0,Come Out and Play,Vinessa Shaw|Ebon Moss-Bachrach|Daniel GimÃ©nez Cacho|Gerardo Taracena|Alejandra Ãlvarez,,Makinov,"Come out, come out, wherever you are.",remake|gore|street children|evil child|killer children,"Beth (Vinessa Shaw) and Francis (Ebon Moss-Bachrach), a young married couple, are on holiday together when they venture to a beautiful, but highly remote, island. Beth is pregnant and the two are hoping to enjoy their last vacation before their baby is born. When they arrive, they notice that while there are plenty of children present, the adults all seem to be missing. Initially attributing this to the after effects of a recent festival, they quickly realize something far more sinister is afoot. The two will face terror and unsettling difficult decisions in their quest to make it off the island alive.",87,Horror,Canana Films|Videocine S.A. de C.V.,9/13/12,23,4.9,2012,0,0
101173,tt1372686,0.597001,7700000,1072602,Coriolanus,Gerard Butler|Ralph Fiennes|Lubna Azabal|Ashraf Barhom|Jessica Chastain,,Ralph Fiennes,Nature teaches beasts to know their friends.,senate|general|market|tragedy|rivalry,"Caius Martius, aka Coriolanus, is an arrogant and fearsome general who has built a career on protecting Rome from its enemies. Pushed by his ambitious mother to seek the position of consul, Coriolanus is at odds with the masses and unpopular with certain colleagues. When a riot results in his expulsion from Rome, Coriolanus seeks out his sworn enemy, Tullus Aufidius. Together, the pair vow to destroy the great city.",123,Drama|Thriller,BBC Films|Synchronistic Pictures|Icon Entertainment International|Lipsync Productions|Atlantic Swiss Productions,2/14/11,76,5.7,2011,7464364.92795433,1039778.27927969
55632,tt1103273,0.174224,0,10967,Peep World,Michael C. Hall|Sarah Silverman|Rainn Wilson|Ben Schwartz|Kate Mara,http://www.ifcfilms.com/films/peep-world-2,Barry W. Blaustein,,dysfunctional family|independent film|trophy wife|tell all novel|failed children,"On the day of their Father's 70th birthday party, four siblings come to terms with the publication of a novel written by the youngest sibling, that exposes the family's most intimate secrets.",79,Comedy,,9/15/10,10,4.9,2010,0,10967
10051,tt0444112,0.407429,0,0,Fauteuils d'orchestre,CÃ©cile De France|Albert Dupontel|Laura Morante|Christopher Thompson|Claude Brasseur,,DaniÃ¨le Thompson,,paris|waitress|bistrot|spectacle|woman director,"A young woman arrives in Paris where she finds a job as a waitress in bar next on Avenue Montaigne that caters to the surrounding theaters and the wealthy inhabitants of the area. She will meet a pianist, a famous actress and a great art collector, and become acquainted with the ""luxurious"" world her grandmother has told her about since her childhood.",106,Romance|Comedy|Drama|Foreign,,2/15/06,19,6.2,2006,0,0
40814,tt0087100,0.262738,0,0,Crimes of Passion,Kathleen Turner|Anthony Perkins|Bruce Davison|Annie Potts|John Laughlin,,Ken Russell,"Her name is China Blue. She is watched. She is worshipped. And, she must remain a mystery.",prostitute|sex|detective|double life|role playing,"Joanna Crane lives a double life. During the day she works as fashion designer but during the night she is the high class prostitute China Blue. As she is accused for industrial spying, Bobby Grady is hired to shadow her. However, they fall in love.  Meanwhile a psychopathic preacher starts stalking her.",112,Drama|Thriller|Romance,New World Pictures|Planet Productions|China Blue Productions,10/19/84,15,6.3,1984,0,0
333620,tt4328642,0.028082,0,0,Stalked By My Neighbor,Amy Pietz|Kelcie Stranahan|Katrina Norman|Grant Harvey|Ethan Erickson,http://johnsonproductiongroup.com/thrillers-2/stalked-by-my-neighbour.html,Doug Campbell,How well do you really know your neighbors?,,"A girl and her mother escape to suburban safety after a home invasion scares them out of the city, but they're soon menaced by a sinister figure.",88,Thriller,Johnson Production Group|Shadowland,3/21/15,14,5.5,2015,0,0
11217,tt0331953,0.313479,8500000,5001655,Club Dread,Kevin Heffernan|Jay Chandrasekhar|Paul Soter|Erik Stolhanske|Tanja Reichert,,Jay Chandrasekhar,A vacation to die for,island|machete|beautiful woman|serial killer|murder hunt,When a serial killer interrupts the fun at the swanky Coconut Pete's Coconut Beach Resort -- a hedonistic island paradise for swingers --- it's up to the club's staff to stop the violence ... or at least hide it!,104,Comedy|Horror,Fox Searchlight Pictures|Broken Lizard Industries|Coconut Pete Productions,2/27/04,48,5.1,2004,9812785.89840326,5774137.60619743
20927,tt0115644,0.447302,0,19030691,Bed of Roses,Christian Slater|Mary Stuart Masterson|Pamela Adlon|Josh Brolin|Brian Tarantina,,Michael Goldenberg,He gave her flowers. She gave him a chance.,florist|family relationships,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.",87,Drama|Romance,New Line Cinema|Juno Pix,1/26/96,13,5.2,1996,0,26456785.1821802
35056,tt1279935,1.618371,55000000,152263880,Date Night,Steve Carell|Tina Fey|Mark Wahlberg|Taraji P. Henson|Jimmi Simpson,http://www.datenight-movie.com/,Shawn Levy,One ordinary couple. One little white lie.,date|corruption|taxi|expensive restaurant|wife husband relationship,"The mild-mannered married couple Phil and Claire fear that their relationship may be falling into a stale rut. During their weekly date night, they impetuously steal a dinner reservation, which leads to a case of mistaken identity. Turns out the reservation was for a pair of thieves, and now a number of unsavory characters want Phil and Claire killed.",97,Comedy,Twentieth Century Fox Film Corporation|Dune Entertainment|21 Laps Entertainment,4/8/10,781,5.9,2010,55000000,152263880
18976,tt0259127,0.249357,0,0,Attila,Gerard Butler|Powers Boothe|Simmone Jade Mackinnon|Reg Rogers|Alice Krige,,Dick Lowry,Men followed. Women worshiped. Rome trembled.,general|roman|army|battlefield|blood,"A romanced story of Attila the Hun, since his childhood, when he lost his parents until his death. Attila is disclosed as a great leader, strategist and lover and the movie shows his respect to the great Roman strategist Flavius Aetius, his loves and passions, the gossips, intrigues and betrayals in Rome, all of these feelings evolved by magic and mysticism.",177,War|Action|Adventure|Drama|History,Alphaville Films|USA Cable Network|Attila Productions|Michael R. Joyce Productions,1/1/01,41,6.2,2001,0,0
884,tt0115964,0.892349,10000000,0,Crash,James Spader|Deborah Kara Unger|Holly Hunter|Elias Koteas|Rosanna Arquette,,David Cronenberg,Love in the dying moments of the twentieth century.,gay|sexual obsession|adultery|sadistic|sexuality,"After getting into a serious car accident, a TV director discovers an underground sub-culture of scarred, omnisexual car-crash victims who use car accidents and the raw sexual energy they produce to try to rejuvenate his sex life with his wife.",100,Drama|Thriller|Romance,Fine Line Features|Alliance Communications,7/17/96,91,6.4,1996,13902167.3896025,0
31858,tt0084287,0.104494,0,0,Made in Britain,Tim Roth|Terry Richards|Bill Stewart|Geoffrey Hutchings|Sean Chapman,,Alan Clarke,Trevor is an angry young man.,prison|skinhead|authority|police|racism,"Trevor sometimes-violent skinhead with no regard for authority, and would rather spend his time stealing cars than sitting in the detention centre to which he is sent. His social worker, Harry Parker, tries to do his best, but Trevor is only interested when thereâ€™s something that he can get out of it. The authorities within the centre try to make Trevor conform to the norms of society, but he takes no notice, and would rather speak in a torrent of four-letter words and racial abuse.",76,Drama|Foreign|Crime,Central Independent Television,2/25/82,11,5.8,1982,0,0
