id,imdb_id,popularity,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
20141011	294741,tt3294200,0.201445,0,0,The Falling,Maisie Williams|Maxine Peake|Florence Pugh|Joe Cole|Anna Burnett,,Carol Morley,,girls' boarding school|epidemic|schoolgirl|mass hysteria|sexual awakening,"Itâ€™s 1969 at an English girls school full of seething hormones and turbulent emotions; Lydia and Abbie are best friends, existing largely in a universe of two. Abbie is the undisputed leader, with natural charisma and magnetism, and Lydia is fixated on her friend, having long been emotionally abandoned by her single mum, an agoraphobe who hasnâ€™t ventured outside for years and who barely acknowledges her daughterâ€™s presence. Lydiaâ€™s fragile world starts to unravel when her white magik-obsessed brother and Abbie sleep together, and a tragedy and ensuing mysterious delirium overtake the school.",102,Drama|Thriller,Metrodome Distribution,10/11/14,33,4.8,2014,0,0
20141010	241843,tt2490326,0.689942,0,0,Cooties,Elijah Wood|Alison Pill|Rainn Wilson|Jack McBrayer|Nasim Pedrad,,Cary Murnion|Jonathan Milott,Please don't feed the children.,elementary school|teacher|zombies|virus|child,"A mysterious virus hits an isolated elementary school, transforming the kids into a feral swarm of mass savages. An unlikely hero must lead a motley band of teachers in the fight of their lives.",88,Action|Comedy|Horror,SpectreVision|Glacier Films,10/10/14,136,5.2,2014,0,0
20141009	262543,tt1971325,2.103532,7000000,0,AutÃ³mata,Antonio Banderas|Birgitte Hjort SÃ¸rensen|Dylan McDermott|Robert Forster|Tim McInnerny,http://www.automata-movie.com/,Gabe IbÃ¡Ã±ez,Your time is coming to an end â€“ Ours is now beginning,artificial intelligence|rain|future|dystopia|robot,"Jacq Vaucan, an insurance agent of ROC robotics corporation, routinely investigates the case of manipulating a robot. What he discovers will have profound consequences for the future of humanity.",110,Thriller|Science Fiction,Green Moon Productions|Nu Boyana Viburno,10/9/14,436,5.4,2014,6447637.35540021,0
20141003	251232,tt2459156,0.239934,0,0,Copenhagen,Gethin Anthony|Frederikke Dahl Hansen|Sebastian Armesto|Tamzin Merchant|Mille Dinesen,http://www.copenhagenthemovie.com/,Mark Raso,"When the girl of your dreams is half your age, it's time to grow up.",,"After weeks of traveling through Europe, the immature William finds himself in Copenhagen, the place of his fatherâ€™s birth. He befriends the youthful Effy, who works in Williamâ€™s hotel as part of an internship program, and they set off to find Williamâ€™s last living relative. Effyâ€™s mix of youthful exuberance and wisdom challenges William unlike any  woman ever has. As the attraction builds, he must come to grips with destabilizing elements of his familyâ€™s sordid past.",98,Adventure|Romance|Drama,Heretic Films|Scorched Films|Fidelio,10/3/14,41,6.6,2014,0,0
20141003	218043,tt2467046,2.601775,16000000,19682924,Left Behind,Nicolas Cage|Chad Michael Murray|Lea Thompson|Nicky Whelan|Martin Klebba,http://www.leftbehindmovie.com/,Vic Armstrong,The End Begins,airplane|the rapture|remake|pilot hero,A small group of survivors are left behind after millions of people suddenly vanish during the rapture and the world is plunged into chaos and destruction.,110,Thriller|Action|Science Fiction,Stoney Lake Entertainment,10/3/14,253,3.8,2014,14737456.8123433,18129765.1494147
20140912	244772,tt1571249,0.929125,0,5284309,The Skeleton Twins,Kristen Wiig|Bill Hader|Luke Wilson|Ty Burrell|Boyd Holbrook,,Craig Johnson,Family is a cruel joke.,new york|adultery|confession|brother sister relationship|infidelity,"Estranged twins Maggie and Milo coincidentally cheat death on the same day, prompting them to reunite and confront the reasons their lives went so wrong. As the twins' reunion reinvigorates them, they realize the key to fixing their lives may just lie in repairing their relationship.",90,Drama,Duplass Brothers Productions|Venture Forth,9/12/14,208,6.7,2014,0,4867329.72941108
20140912	136835,tt2011159,1.146492,13200000,53830415,No Good Deed,Idris Elba|Taraji P. Henson|Leslie Bibb|Kate del Castillo|Henry Simmons,http://sites.sonypictures.com/nogooddeed/teaser/,Sam Miller,First he gets into your house. Then he gets into your head.,sadistic|hostage|sociopath|serial killer|blood,"Terri, a devoted wife and mother of two, lives an ideal life that takes a dramatic turn when her home and children are threatened by Colin, a charming stranger who smooth-talks his way into her house, claiming car trouble. The unexpected invitation leaves her and her family terrorized and fighting for survival.",84,Thriller,Sony Pictures|Screen Gems,9/12/14,105,5.8,2014,12158401.8701832,49582713.5158137
20140911	283350,tt0443465,0.760779,0,37151,Before We Go,Chris Evans|Alice Eve|Emma Fitzpatrick|Scott Evans|John Cullum,,Chris Evans,One night can change your whole life.,wife husband relationship|adventure|romance|cheating husband|stranger,A woman who is robbed on her way to catch the 1:30 train to Boston is left stranded in New York City. She meets a man who helps her during the course of the night and the two form a romance.,89,Drama|Romance|Comedy,Wonderland Sound and Vision|G4 Productions|Nutmeg Film Productions,9/11/14,319,6.3,2014,0,34219.4536272105
20140911	238215,tt3203616,0.897075,0,0,The Cobbler,Adam Sandler|Dan Stevens|Steve Buscemi|Dustin Hoffman|Ellen Barkin,,Tom McCarthy,Saving the neighborhood one sole at a time.,comedy,"Max Simkin repairs shoes in the same New York shop that has been in his family for generations. Disenchanted with the grind of daily life, Max stumbles upon a magical heirloom that allows him to step into the lives of his customers and see the world in a new way. Sometimes walking in another man's shoes is the only way one can discover who they really are.",98,Fantasy|Comedy|Drama,Next Wednesday Productions|Voltage Pictures,9/11/14,364,5.4,2014,0,0
20140904	285838,tt1718915,0.130592,0,0,Teen Lust,Cary Elwes|Emmanuelle Vaugier|Kristin Bauer van Straten|Jon Cor|Jesse Carere,,Blaine Thurier,Get laid or die trying.,,A shy high schooler struggles to lose his virginity before the local Satanic cult can sacrifice him to the devil.,80,Comedy,Independent Edge FIlms|Farpoint Films|Telefilm Canada - Equity Investment Program,9/4/14,12,4.3,2014,0,0
20140829	244562,tt2381046,0.165741,0,0,Jamie Marks Is Dead,Cameron Monaghan|Noah Silver|Morgan Saylor|Madisen Beaty|Judy Greer,http://www.jamiemarksisdead.net/,Carter Smith,How far would you go to be remembered?,,"No one seemed to care about Jamie Marks until after his death. Hoping to find the love and friendship he never had in life, Jamieâ€™s ghost visits former classmate Adam McCormick, drawing him into the bleak world between the living and the dead.",100,Drama|Thriller,Verisimilitude,8/29/14,14,5.9,2014,0,0
20140828	290555,tt1403241,0.480194,18000000,0,Wolves,Jason Momoa|Lucas Till|John Pyper-Ferguson|Stephen McHattie|Merritt Patterson,,David Hayter,Unleash the beast,adoption|werewolf,"The coming-of-age story of Cayden Richards. Forced to hit the road after the murder of his parents, Cayden wanders lost without purpose... Until he meets a certifiable lunatic named Wild Joe who sets him on a path to the ominous town of Lupine Ridge to hunt down the truths of his history. But in the end| who's really hunting whom?",90,Horror|Action,Copperheart Entertainment|Entertainment One|Dark Hero Studios,8/28/14,42,5.3,2014,16579638.9138862,0
20140827	283686,tt2872724,0.466921,0,0,Out of the Dark,Julia Stiles|Scott Speedman|Stephen Rea|Alejandro Furth|Pixie Davies,,LluÃ­s QuÃ­lez,,,"A couple and their daughter moves to Colombia to take over a family manufacturing plant, only to realize their new home is haunted.",92,Thriller|Horror,Participant Media|Imagenation Abu Dhabi FZ|Dynamo|Apaches Entertainment|XYZ Films,8/27/14,30,4.5,2014,0,0
20140822	288154,tt2713642,0.118137,1400000,0,Jersey Shore Massacre,Danielle Dallacco|Angelica Boccella|Giovanni Roselli|Chris Lazzaro|Nicole Rutigliano,http://www.jerseyshoremassacre.com/,Paul Tarnopol,You're not the only one who wants them dead.,new jersey|nudity|exploitation|gore|spoof,A typical weekend down the shore takes a bizarre turn as six girls and five obnoxious fist-pumpers become the unsuspecting targets of a deranged killer.,88,Horror|Comedy,Spy Global Media|JSM productions1,8/22/14,14,2.4,2014,1289527.47108004,0
20140822	263986,tt3450134,0.571571,0,0,The Drownsman,Michelle Mylett|Caroline Palmer|Ry Barrett|Gemma Bird Matheson|Sydney Kondruss,http://www.blackfawnfilms.com/,Chad Archibald,,,"After almost drowning in a lake, Madison finds herself bound to a life of fear. Unable to describe what happened to her during the moments she was underwater, she begins to develop hydrophobia: an abnormal fear of water. Crippled by her post trauma, Madison attempts to shut out the world but her fear intensifies and she is faced with the vision of a dark figure that haunts her day and night. After watching her struggle for one year with the phobia and visions, Madison's four friends attempt an unconventional intervention in which they accidentally open a floodgate to a dark place where none of them are safe. As Madison and her friends dive deeper into the dark history of this figure that haunts them, it reaches out and begins dragging them to a horrifying place that they can never come back from.",88,Horror|Fantasy|Thriller,,8/22/14,18,4.1,2014,0,0
20140822	245859,tt2141751,0.378725,0,0,God Help the Girl,Emily Browning|Olly Alexander|Hannah Murray|Pierre Boulanger|Cora Bissett,,Stuart Murdoch,,,"Eve is a catastropheâ€”low on self-esteem but high on fantasy, especially when it comes to music. Over the course of one Glasgow summer, she meets two similarly rootless souls: posh Cass and fastidious James, and together they form a group.",111,Comedy|Drama|Music,HanWay Films|Barry Mendel Productions|British Film Company,8/22/14,74,6.7,2014,0,0
20140814	254375,tt1626146,0.747577,0,1124445,Hector and the Search for Happiness,Simon Pegg|Rosamund Pike|Tracy-Ann Oberman|Toni Collette|Stellan SkarsgÃ¥rd,,Peter Chelsom,Sometimes to find yourself you need to get a little lost.,trip|travelling person|travel|search|pursuit,"Hector is a quirky psychiatrist who has become increasingly tired of his humdrum life. As he tells his girlfriend, Clara, he feels like a fraud: he hasnâ€™t really tasted life, and yet heâ€™s offering advice to patients who are just not getting any happier. So Hector decides to break out of his deluded and routine driven life. Armed with buckets of courage and child-like curiosity, he embarks on a global quest in hopes of uncovering the elusive secret formula for true happiness. And so begins a larger than life adventure with riotously funny results.",114,Adventure|Drama|Comedy,Wild Bunch|Erfttal Film|Film Afrika Worldwide|Head Gear Films|Metrol Technology,8/14/14,207,6.9,2014,0,1035716.22658471
20140808	242090,tt2756032,0.289951,0,0,The One I Love,Mark Duplass|Elisabeth Moss|Ted Danson|Kiana Cason|Kaitlyn Dodson,,Charlie McDowell,,weekend|therapist|marriage|dilemma|escape,"On the brink of separation, Ethan and Sophie escape to a beautiful vacation house for a weekend getaway in an attempt to save their marriage. What begins as a romantic and fun retreat soon becomes surreal, when an unexpected discovery forces the two to examine themselves, their relationship, and their future.",91,Romance|Comedy|Drama,Radius-TWC,8/8/14,182,6.8,2014,0,0
20140807	146229,tt2027136,0.182975,6900000,0,Kristy,Ashley Greene|Haley Bennett|Lucas Till|Chris Coy|Mike Seal,,Olly Blackburn,Run for your life,fight|mask|college|thanksgiving|campus,"When a college girl who is alone on campus over the Thanksgiving break is targeted by a group of outcasts, she must conquer her deepest fears to outwit them and fight back.",86,Thriller|Horror,Electric City Entertainment|David Kirschner Productions|La Sienega Productions,8/7/14,59,6.1,2014,6355528.25032307,0
20140805	283384,tt1666335,0.926802,0,0,The Calling,Susan Sarandon|Gil Bellows|Ellen Burstyn|Topher Grace|Donald Sutherland,,Jason Stone,Pray for the Prey,series of murders,Detective Hazel Micallef hasn't had much to worry about in the sleepy town of Port Dundas until a string of gruesome murders in the surrounding countryside brings her face to face with a serial killer driven by a higher calling.,108,Thriller,Darius Films|Manis Film|Breaking Ball Films|Stage 6 Films,8/5/14,52,5.7,2014,0,0
20140731	305091,tt3892434,0.298899,0,0,That Sugar Film,Damon Gameau|Brenton Thwaites|Isabel Lucas|Stephen Fry|Jessica Marais,http://www.thatsugarfilm.com/,Damon Gameau,A film about what really happens when a spoonful of sugar helps the medicine go down,experiment|health|food industry|sugar|health food,"One man's journey to discover the bitter truth about sugar. Damon Gameau embarks on a unique experiment to document the effects of a high sugar diet on a healthy body, consuming only foods that are commonly perceived as 'healthy'. Through this entertaining and informative journey, Damon highlights some of the issues that plague the sugar industry, and where sugar lurks on supermarket shelves.",97,Documentary,Madman Entertainment,7/31/14,36,6.4,2014,0,0
20140729	254194,tt2793490,0.539597999999999,0,0,Starry Eyes,Alex Essoe|Amanda Fuller|Noah Segan|Fabianne Therese|Pat Healy,http://www.starryeyesfilm.com/,Kevin Kolsch|Dennis Widmyer,She would kill to be famous.,desperation|elite|fame|hollywood|initiation,A hopeful young starlet uncovers the ominous origins of the Hollywood elite and enters into a deadly agreement in exchange for fame and fortune.,98,Horror,Dark Sky Films|Snowfort Pictures|Parallactic Pictures|Title Media,7/29/14,69,5.8,2014,0,0
20140710	288301,tt3997238,0.002599,0,0,Do I Sound Gay?,Michael Airington|Margaret Cho|Tim Gunn|Jeff Hiller|Dan Savage,http://www.doisoundgay.com,David Thorpe,,homosexuality,"Is there such a thing as a ""gay voice""? Why do some people sound gay but not others? Why is sounding gay beloved in pop culture, from Liberace to Modern Family, but also a trigger for bullying and harassment? The feature documentary  Do I Sound Gay?",77,Documentary,,7/10/14,12,5.8,2014,0,0
20140704	151368,tt2409818,0.81219,0,0,Open Windows,Elijah Wood|Sasha Grey|Neil Maskell|Nacho Vigalondo|Brian Elder,,Nacho Vigalondo,The 21st Century REAR WINDOW.,high technology|written by director|voyeurism,"Nick is excited to discover that he's won a dinner date with his favorite actress, Jill Goddard. But when Jill refuses to honor the contest, he receives an offer he can't refuse: the ability to view Jill secretly via computer. Nick begins watching the unknowing star on her webcam, not realizing that this decision will put both himself and Jill at risk as they enter a terrifying world of cat-and-mouse where nothing-and no one-are as they seem.",101,Thriller|Action|Crime,Wild Bunch|Sayaka Producciones Audiovisuales|Apaches Entertainment|La Panda|Atresmedia Cine,7/4/14,130,5.1,2014,0,0
20140701	184346,tt2377322,0.641676,30000000,0,Deliver Us from Evil,Eric Bana|Edgar RamÃ­rez|Olivia Munn|Joel McHale|Sean Harris,,Scott Derrickson,You haven't seen true evil,possessed|demon|occult|demonic possession,"New York police officer Ralph Sarchie investigates a series of crimes. He joins forces with an unconventional priest, schooled in the rites of exorcism, to combat the possessions that are terrorizing their city.",118,Thriller|Crime|Horror,Jerry Bruckheimer Films|Screen Gems|LStar Capital,7/1/14,474,6,2014,27632731.5231437,0
20140613	244536,tt3186318,0.593065,0,0,Hellion,Aaron Paul|Juliette Lewis|Josh Wiggins|Deke Garner|Jonny Mars,,Kat Candler,,woman director,"When motocross and heavy metal obsessed, 13-year-old Jacob's delinquent behavior forces CPS to place his little brother Wes with his aunt, Jacob and his emotionally absent father must finally take responsibility for their actions and each other in order to bring Wes home.",98,Thriller|Drama,IFC Films|Silver Sail Entertainment|Across Town Productions|Arts+Labor,6/13/14,26,5.3,2014,0,0
20140606	209416,tt3074780,0.253943,0,0,Supermensch: The Legend of Shep Gordon,Shep Gordon|Alice Cooper|Sylvester Stallone|Anne Murray|Willie Nelson,,Mike Myers|Beth Aala,,musician|biography|music business|rock music|chef,"In 1991, music manager Shep Gordon held Mike Myers over a barrel a few weeks before shooting Wayneâ€™s World regarding an Alice Cooper song Myers wanted to use in the film. They have been close friends ever since. Twenty-two years later, the story of Gordonâ€™s legendary life in the Ã¼ber-fast lane is now told in Myersâ€™ directorial debut. And this time itâ€™s Myers who has Gordon over a barrel. Shep Gordon: capitalist, protector, hedonist, pioneer, showman, shamanâ€¦ Supermensch!",85,Documentary,A&E IndieFilms|Nomoneyfun Films,6/6/14,20,7.6,2014,0,0
20140528	269650,tt3638012,0.264059,0,0,Appleseed Alpha,Luci Christian|David Matranga|Wendel Calvert|Adam Gibbs|Elizabeth Bunch,,Shinji Aramaki,"To find Olympus, they must fight to survive.",post-apocalyptic|war|mecha|cyberpunk,"Based on the comic book by the creator of Ghost in the Shell, a young female soldier Deunan and her cyborg partner Briareos survive through the post World War 3 apocalyptic New York in search of human's future hope, the legendary city of Olympus.",90,Animation|Science Fiction|Action,Stage 6 Films,5/28/14,121,6.4,2014,0,0
20140527	137113,tt1631867,3.990452,178000000,370541256,Edge of Tomorrow,Tom Cruise|Emily Blunt|Brendan Gleeson|Bill Paxton|Jonas Armstrong,http://www.edgeoftomorrowmovie.com/,Doug Liman,"Live, Die, Repeat",deja vu|time warp|dystopia|war|alien,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.",113,Action|Science Fiction,Village Roadshow Pictures|Warner Bros.|Viz Media|Province of British Columbia Production Services Tax Credit|3 Arts Entertainment,5/27/14,3267,7.7,2014,163954207.037319,341302234.843216
20140523	152790,tt1294970,0.59318,0,0,The Angriest Man in Brooklyn,Mila Kunis|Peter Dinklage|Robin Williams|Melissa Leo|James Earl Jones,,Phil Alden Robinson,Everyone has a bad day. Henry has one every day.,black comedy,"After learning that a brain aneurysm will kill him in about 90 minutes, a perpetually unhappy man struggles to come to terms with his fate and make amends with everyone he has ever hurt.",84,Drama|Comedy,Landscape Entertainment|MICA Entertainment|Vedette Finance|Prominent Media Group,5/23/14,112,5.5,2014,0,0
20140521	157851,tt2172584,0.495519,0,1338365,Maps to the Stars,Julianne Moore|Mia Wasikowska|Evan Bird|John Cusack|Robert Pattinson,,David Cronenberg,Eventually stars burn out.,male nudity|sex|menage a trois|wedding ring|blood,"Driven by an intense need for fame and validation, members of a dysfunctional Hollywood dynasty have lives as dramatic as any movie.",112,Drama,Integral Film|Prospero Pictures|SBS Productions|Sentient Entertainment,5/21/14,255,5.6,2014,0,1232756.02416574
20140518	264656,tt2398231,0.870104,16000000,2429989,The Homesman,Hilary Swank|Tommy Lee Jones|Grace Gummer|Meryl Streep|Miranda Otto,,Tommy Lee Jones,,dancing|based on novel|revenge|native american|tied feet,"When three women living on the edge of the American frontier are driven mad by harsh pioneer life, the task of saving them falls to the pious, independent-minded Mary Bee Cuddy. Transporting the women by covered wagon to Iowa, she soon realizes just how daunting the journey will be, and employs a low-life drifter, George Briggs, to join her. The unlikely pair and the three women head east, where a waiting minister and his wife have offered to take the women in. But the group first must traverse the harsh Nebraska Territories marked by stark beauty, psychological peril and constant threat.",122,Western|Drama,The Javelina Film Company|EuropaCorp|Ithaca Pictures,5/18/14,150,6.2,2014,14737456.8123433,2238241.12137308
20140509	256347,tt2226495,0.131326,0,0,Not Safe for Work,Max Minghella|Eloise Mumford|Michael Gladis|Molly Hagan|Tom Gallop,,Joe Johnston,"No Protection, No Help, No Escape",,An office worker is trapped inside the building where a killer is on the loose.,74,Thriller,Blumhouse Productions,5/9/14,21,4.9,2014,0,0
20140430	266537,tt3489470,0.390044,0,0,Pas son genre,Ã‰milie Dequenne|LoÃ¯c Corbery|Anne Coesens|Martine Chevalier|Annelise Hesme,,Lucas Belvaux,Opposites attract; but is that enough?,,"Clement, a young philosophy teacher, is sent to Arras for a year. He meets Jennifer, a pretty hair stylist, and the two freely share their hearts and bodies as they try to overcome the cultural and social divide between them.",111,Comedy|Romance,Artemis Film|Agat Films & Cie|Radio TÃ©lÃ©vision Belge Francophone (RTBF)|France 3 Cinema,4/30/14,31,6,2014,0,0
20140419	271185,tt2505294,0.186933,950000,0,Ask Me Anything,Britt Robertson|Christian Slater|Justin Long|Martin Sheen|Andy Buckley,http://undiscoveredgyrl.com/,Allison Burnett,Young. Not so innocent.,college|blog|dark secrets,"Beautiful, wild, funny, and lost, Katie Kampenfelt takes a year off before college to find herself, all the while chronicling her adventures in an anonymous blog into which she pours her innermost secrets. Eventually, Katie's fearless narrative begins to crack, and dark pieces of her past emerge.",100,Drama|Mystery|Thriller,Decipher Entertainment|Presque Isle Films|LA Publicity|Tait Productions,4/19/14,103,5.4,2014,875036.498232886,0
20140418	212231,tt0780548,0.308899,0,0,Kid Cannabis,Jonathan Daniel Brown|Kenny Wormald|Ron Perlman|Aaron Yoo|Amanda Tapping,,John Stockwell,,based on magazine article,An eighteen year old high school drop out and his twenty-seven year old friend start trafficking marijuana across the border of Canada in order to make money and their lives are changed forever.,110,Drama,Wingman Productions|Imprint Entertainment|Gordon Bijelonic / Datari Turner Films,4/18/14,38,6.3,2014,0,0
20140417	214314,tt2458776,0.502296,0,0,Bears,John C. Reilly|Victoria Naumova,http://nature.disney.com/bears,Alastair Fothergill|Keith Scholey,A look at the life of bears living in Alaska's coastal mountains and shores.,alaska|family|nature|bears,A documentary that follows an Alaskan bear family as its young cubs are taught life's most important lessons.,78,Documentary|Family,Disneynature,4/17/14,51,7.4,2014,0,0
20140401	193612,tt2235779,0.667732,200000,17834867,The Quiet Ones,Jared Harris|Sam Claflin|Olivia Cooke|Erin Richards|Rory Fleck-Byrne,,John Pogue,A shocking experiment. An unspeakable evil.,male nudity|female nudity|1970s|experiment|nudity,"A university student and some classmates are recruited to carry out a private experiment -- to create a poltergeist. Their subject: an alluring, but dangerously disturbed young woman. Their quest: to explore the dark energy that her damaged psyche might manifest. As the experiment unravels along with their sanity, the rogue PHD students, led by their determined professor, are soon confronted with a terrifying reality: they have triggered an unspeakable force with a power beyond all explanation.",98,Horror,Hammer Film Productions|Exclusive Media Group|Travelling Picture Show Company,4/1/14,147,5.1,2014,184218.210154291,16427536.3853992
20140327	260339,tt2904626,0.928771,0,0,Salting the Battlefield,Bill Nighy|Helena Bonham Carter|Ralph Fiennes|Ewen Bremner|Judy Davis,,David Hare,,mi5|johnny worricker,"David Hare concludes his trilogy of films about MI5 renegade Johnny Worricker with another fugue on power, secrets and the British establishment. Johnny Worricker goes on the run with Margot Tyrell across Europe, and with the net closing in, the former MI5 man knows his only chance of resolving his problems is to return home and confront prime minister Alec Beasley.",93,Mystery|Drama|Action|Crime,BBC Films|Carnival Films|Heyday Films,3/27/14,19,6.3,2014,0,0
20140326	254023,tt1568343,0.346216,2000000,0,The Humbling,Al Pacino|Greta Gerwig|Dylan Baker|Charles Grodin|Nina Arianda,,Barry Levinson,Older but not wiser.,lesbian|extramarital affair|actor,"Following a breakdown and suicide attempt, an aging actor becomes involved with a much younger woman but soon finds that it's difficult to keep pace with her.",112,Drama|Comedy,Ambi Pictures|Hammerton Productions,3/26/14,18,4.7,2014,1842182.10154291,0
